company_id,metric_type,period_years,period_label,value_pct,raw_text,computed_value_pct,divergence_pct_points,calculation_status,manual_review_flag,validation_status,review_reason
WIPRO,compounded_profit_growth,3,3 Year,0.0,3 Years:            0%,0.7428,0.7428,Calculated,False,MATCH,
WIPRO,stock_price_cagr,3,3 Year,-1.0,3 Years:      -1%,,,Insufficient history,False,NOT VALIDATED,Insufficient history
WIPRO,roe,3,3 Year,17.0,3 Years:          17%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
HDFCBANK,compounded_sales_growth,5,5 Year,22.0,5 Years:       22%,21.951,0.049,Calculated,False,MATCH,
HDFCBANK,compounded_profit_growth,5,5 Year,23.0,5 Years:           23%,23.8651,0.8651,Calculated,False,MATCH,
HDFCBANK,stock_price_cagr,5,5 Year,8.0,5 Years:       8%,,,Insufficient period coverage,False,NOT VALIDATED,Insufficient period coverage
HDFCBANK,roe,5,5 Year,17.0,5 Years:       17%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
WIPRO,compounded_sales_growth,0,TTM,-3.0,TTM:           -3%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
WIPRO,compounded_profit_growth,0,TTM,1.0,TTM:                 1%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
WIPRO,stock_price_cagr,1,1 Year,39.0,1 Year:       39%,,,Insufficient history,False,NOT VALIDATED,Insufficient history
WIPRO,roe,1,Last Year,14.0,Last Year:       14%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
HDFCBANK,compounded_sales_growth,3,3 Year,30.0,3 Years:       30%,30.187,0.187,Calculated,False,MATCH,
HDFCBANK,compounded_profit_growth,3,3 Year,26.0,3 Years:           26%,27.1236,1.1236,Calculated,False,MATCH,
HDFCBANK,stock_price_cagr,3,3 Year,8.0,3 Years:       8%,1.9833,6.0167,Calculated,True,MANUAL REVIEW,Parsed value differs from calculated value by more than 5.0 percentage points
HDFCBANK,roe,3,3 Year,17.0,3 Years:       17%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
HDFCBANK,compounded_sales_growth,0,TTM,47.0,TTM:            47%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
HDFCBANK,compounded_profit_growth,0,TTM,27.0,TTM:                27%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
HDFCBANK,stock_price_cagr,1,1 Year,13.0,1 Year:        13%,2.6665,10.3335,Calculated,True,MANUAL REVIEW,Parsed value differs from calculated value by more than 5.0 percentage points
HDFCBANK,roe,1,Last Year,17.0,Last Year:    17%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
INFY,compounded_sales_growth,10,10 Year,12.0,10 Years:     12%,11.8527,0.1473,Calculated,False,MATCH,
INFY,compounded_profit_growth,10,10 Year,9.0,10 Years:         9%,9.4335,0.4335,Calculated,False,MATCH,
INFY,stock_price_cagr,10,10 Year,15.0,10 Years:     15%,,,Insufficient period coverage,False,NOT VALIDATED,Insufficient period coverage
INFY,roe,10,10 Year,27.0,10 Years:      27%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
INFY,compounded_sales_growth,5,5 Year,13.0,5 Years:       13%,13.1991,0.1991,Calculated,False,MATCH,
INFY,compounded_profit_growth,5,5 Year,11.0,5 Years:           11%,11.2394,0.2394,Calculated,False,MATCH,
INFY,stock_price_cagr,5,5 Year,22.0,5 Years:     22%,,,Insufficient period coverage,False,NOT VALIDATED,Insufficient period coverage
INFY,roe,5,5 Year,29.0,5 Years:        29%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
INFY,compounded_sales_growth,3,3 Year,5.0,3 Years:       5%,15.2165,10.2165,Calculated,True,MANUAL REVIEW,Parsed value differs from calculated value by more than 5.0 percentage points
INFY,compounded_profit_growth,3,3 Year,10.0,3 Years:           10%,10.5588,0.5588,Calculated,False,MATCH,
INFY,stock_price_cagr,3,3 Year,4.0,3 Years:     4%,22.5719,18.5719,Calculated,True,MANUAL REVIEW,Parsed value differs from calculated value by more than 5.0 percentage points
INFY,roe,3,3 Year,31.0,3 Years:        31%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
INFY,compounded_sales_growth,0,TTM,3.0,TTM:            3%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
INFY,compounded_profit_growth,0,TTM,8.0,TTM:                 8%,,,TTM validation not applicable,False,NOT VALIDATED,TTM validation not applicable
INFY,stock_price_cagr,1,1 Year,27.0,1 Year:       27%,32.8629,5.8629,Calculated,True,MANUAL REVIEW,Parsed value differs from calculated value by more than 5.0 percentage points
INFY,roe,1,Last Year,32.0,Last Year:     32%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
SBILIFE,compounded_sales_growth,10,10 Year,23.0,10 Years:     23%,22.5616,0.4384,Calculated,False,MATCH,
SBILIFE,compounded_profit_growth,10,10 Year,9.0,10 Years:          9%,10.0335,1.0335,Calculated,False,MATCH,
SBILIFE,stock_price_cagr,10,10 Year,9.0,10 Years:      9%,,,Insufficient period coverage,False,NOT VALIDATED,Insufficient period coverage
SBILIFE,roe,10,10 Year,16.0,10 Years:      16%,,,ROE is not a CAGR metric,False,NOT VALIDATED,ROE is not a CAGR metric
